C,Data,PDez,SDz,TDz,QDez,QiDez,SxDez,NGan,UF,Rateio
433,29/01/03,36,17,28,16,54,30,0,,0
434,01/02/03,24,17,4,54,30,10,0,,0
435,05/02/03,37,11,17,31,43,10,0,,0
436,08/02/03,1,6,57,29,48,7,0,,0
437,12/02/03,54,10,59,44,30,7,0,,0
438,15/02/03,38,48,14,3,11,5,0,,0
439,19/02/03,42,13,20,29,43,57,0,,0
440,22/02/03,46,23,30,47,5,3,0,,0
441,26/02/03,2,15,58,10,59,21,0,,0
442,01/03/03,15,31,23,6,59,37,1,SP,19.946.601
443,08/03/03,11,36,17,26,52,48,0,,0
444,12/03/03,48,52,57,24,3,33,0,,0
445,15/03/03,31,50,7,53,32,20,0,,0
446,19/03/03,11,20,8,47,12,17,2,RS,1.767.117
447,22/03/03,24,55,15,33,25,42,0,,0
448,26/03/03,5,3,52,45,9,51,0,,0
449,29/03/03,34,56,24,1,49,8,0,,0
450,02/04/03,59,51,13,1,9,50,0,,0
451,05/04/03,23,18,31,17,53,28,0,,0
452,09/04/03,54,11,51,16,36,30,0,,0
453,12/04/03,58,52,8,34,20,23,0,,0
454,16/04/03,4,17,42,56,46,24,0,,0
455,19/04/03,50,15,17,2,14,59,0,,0
456,23/04/03,17,40,22,27,33,3,0,,0
457,26/04/03,48,15,24,27,17,32,3,CE,10.000.441
458,30/04/03,43,53,13,32,34,24,0,,0
459,03/05/03,43,17,8,15,49,39,0,,0
460,07/05/03,19,55,30,23,37,49,0,,0
461,10/05/03,30,17,20,29,15,60,0,,0
462,14/05/03,27,48,17,19,26,22,0,,0
463,17/05/03,7,18,2,45,3,53,0,,0
464,21/05/03,6,33,45,38,24,50,1,RS,28.414.544
465,24/05/03,46,31,1,57,22,51,0,,0
466,28/05/03,28,16,45,29,30,11,0,,0
467,31/05/03,38,21,8,22,18,60,0,,0
468,04/06/03,23,6,25,39,51,5,0,,0
469,07/06/03,29,47,42,21,13,26,2,AL,2.596.432
